period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
1,38,51,Regular Play,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Goal,Normal,True,,,,,,114.3,35.3,120.0,37.3,0.6000000000000001,1.0
1,41,51,From Free Kick,Huesca,Alejandro Gallar Falguera,,Left Foot,Open Play,Goal,Volley,True,,,,,,115.9,42.8,120.0,39.9,0.30000000000000004,0.0
1,43,44,From Kick Off,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,,,,112.9,28.4,118.1,36.6,0.9,2.0
1,44,23,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Off T,Normal,,,,,,,94.2,43.4,120.0,32.5,0.4,2.0
2,46,12,From Kick Off,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Half Volley,,,,True,,,117.6,49.2,118.9,43.8,1.2,1.0
2,47,12,From Throw In,Huesca,Luis Carlos Correia Pinto,,Left Foot,Open Play,Off T,Normal,,,,,,,89.6,33.1,120.0,32.0,3.9,2.0
2,47,42,From Goal Kick,Barcelona,Ousmane Dembélé,,Left Foot,Open Play,Goal,Normal,,,,,,,108.8,28.5,120.0,43.7,0.4,1.0
2,50,15,From Counter,Barcelona,Luis Alberto Suárez Díaz,1.0,Right Foot,Open Play,Saved,Normal,,,,True,,,112.6,28.0,117.1,34.1,0.2,1.0
2,51,12,From Corner,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Goal,Half Volley,True,,,,,,109.7,57.5,120.0,36.9,0.9,1.0
2,53,34,From Throw In,Barcelona,Sergi Roberto Carnicer,,Left Foot,Open Play,Off T,Half Volley,True,,,,,,110.9,45.6,120.0,45.4,0.6000000000000001,1.0
2,56,27,From Free Kick,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Normal,,,,True,,,107.1,35.1,113.9,37.0,0.4,1.0
2,59,2,Regular Play,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,,,,,,,96.6,33.3,98.0,33.9,,2.0
2,59,42,From Corner,Barcelona,Gerard Piqué Bernabéu,,Head,Open Play,Off T,Normal,,,,,,,114.4,38.4,120.0,35.6,2.5,1.0
2,60,40,From Keeper,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Goal,Normal,,,,,,,103.8,35.2,120.0,43.7,0.4,1.0
2,63,46,From Free Kick,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Off T,Normal,,,,,,,91.3,41.3,120.0,32.4,0.2,1.0
