player,team,distance,angle,under_pressure,follows_dribble,one_on_one,first_time,defenders_between,Corner,Free Kick,Open Play,Penalty,Backheel,Diving Header,Half Volley,Lob,Normal,Overhead Kick,Volley,Head,Other,preferred_foot,not_preferred_foot,goal
Lionel Andrés Messi Cuccittini,Barcelona,10.700000000000003,0.6591607440326118,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Jordi Alba Ramos,Barcelona,12.592458060283539,0.529239963430366,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,18.69679116854013,0.37164946115025227,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,18.785632808079686,0.31864010765304696,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Lionel Andrés Messi Cuccittini,Barcelona,26.09865896938002,0.2335408437005102,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,13.946325680981356,0.48062139549666805,0,0,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,14.7648230602334,0.2453875596629051,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,27.202941017470888,0.21810802062403942,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,22.360679774997898,0.3196008257028447,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,12.40362850137007,0.5700461568235657,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,23.693459012984995,0.3017387782204862,0,0,0,0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Luis Alberto Suárez Díaz,Barcelona,7.116881339463232,0.9282937147772266,0,0,0,1,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Luis Alberto Suárez Díaz,Barcelona,19.720294115453754,0.3112043342349096,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,20.615528128088304,0.2772183461303368,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,26.2682317638626,0.25301875966346027,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,27.128029784707916,0.2125315321545436,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Lionel Andrés Messi Cuccittini,Barcelona,20.9861859326558,0.3440190045724597,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Ivan Rakitić,Barcelona,10.084641788382966,0.3126852090564559,0,0,0,1,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,13.994284547628721,0.44870732533888397,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,7.951100552753693,0.8596083274551019,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Luis Alberto Suárez Díaz,Barcelona,9.296235797353683,0.6697821777028443,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Luis Alberto Suárez Díaz,Barcelona,10.231813133555557,0.6509544700550405,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,9.881295461628499,0.4668124074272949,0,0,0,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,26.057244673986546,0.26524628136689204,0,0,0,0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,21.298356744124657,0.3344662247270631,0,0,0,0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,13.630847369110992,0.5108306232833134,0,0,0,1,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Andrés Iniesta Luján,Barcelona,18.619613314996634,0.29428319581055085,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,15.402921800749363,0.2862178292641125,0,0,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,13.482581355215329,0.2834212531480522,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,26.31539473388153,0.2762375313312112,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andrés Iniesta Luján,Barcelona,28.784718167805632,0.23446891537563058,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,25.317977802344327,0.2837188010077621,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,22.5523834660552,0.2942253736643808,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,27.53924472457442,0.24549200219353964,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Luis Alberto Suárez Díaz,Barcelona,14.393401265857909,0.3412050954026935,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,22.801096464863264,0.30389991271485484,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,16.389325794552988,0.2951469375889896,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Gerard Piqué Bernabéu,Barcelona,9.679876032264044,0.6924680250038087,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,24.56053745340277,0.25378619194928476,0,0,0,0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gerard Piqué Bernabéu,Barcelona,7.125307010929418,0.9473493272121827,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Antoine Griezmann,Atlético Madrid,24.310080213771403,0.29874836889936895,0,0,0,1,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Ivan Rakitić,Barcelona,22.817756243767704,0.29027657734993806,0,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,20.785812469085737,0.3395126959146148,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Sergio Busquets i Burgos,Barcelona,11.792370414806346,0.25635910404307366,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,18.45047424864737,0.3057151887957942,1,0,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,27.365854636754907,0.2597290694433739,0,0,0,0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,20.223748416156685,0.35443855322364,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,14.317821063276353,0.22532962973735438,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,16.479381056338255,0.32540593035320814,0,0,0,1,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Jordi Alba Ramos,Barcelona,27.60670208481991,0.2507530600726094,0,0,0,1,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,19.901004999748135,0.3637390717980231,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Philippe Coutinho Correia,Barcelona,6.4031242374328485,0.924600789821128,0,0,0,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,20.365166338628317,0.3384615878511486,0,0,0,1,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,26.55447231635379,0.27339951408599905,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,24.39057194901341,0.29685106714248105,0,0,0,0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,19.285227507084272,0.2897022018997266,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,21.029740844813084,0.3151476191221321,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,18.749133313302774,0.2703146515323863,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,18.967867565965346,0.20218529274069716,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Andrés Iniesta Luján,Barcelona,37.753410441972,0.17145921582460205,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,14.71767644704829,0.43794615657604963,0,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,35.35533905932738,0.18148343602254424,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Jordi Alba Ramos,Barcelona,30.01233079918985,0.23715694561455847,0,0,0,0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,29.88143236192001,0.22816448481145662,0,0,0,0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gerard Piqué Bernabéu,Barcelona,3.7161808352124077,1.5330728832996874,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,28.006606363499316,0.22313930913913962,0,0,0,0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,21.80825531765437,0.251144890826506,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,9.575489543621256,0.11172473426929475,0,0,0,1,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,8.55862138431185,0.6250437480040109,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,28.30070670495703,0.2528653480679745,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,11.543396380615194,0.228044495439002,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Ivan Rakitić,Barcelona,9.718538984847461,0.5172765816483003,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,19.093716243832688,0.3662331439956597,0,0,0,1,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,6.280127387243031,0.818278749300013,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
Lionel Andrés Messi Cuccittini,Barcelona,25.312645061312733,0.28705742336443635,0,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Gerard Piqué Bernabéu,Barcelona,13.416407864998739,0.48519901791668085,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Philippe Coutinho Correia,Barcelona,20.686710710018644,0.2373537368012458,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,13.484806264830057,0.44591050451969805,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,6.016643582596527,1.0778876198827358,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,23.363432966925043,0.28486136626807484,0,0,0,0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,27.832534918688236,0.23864158189532958,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,13.679546776117984,0.5107719360761408,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,21.243351901241947,0.25822750483999196,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,31.8248330710469,0.1661777848585333,0,0,0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,14.011780757633911,0.22424576328805532,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,9.620810776644554,0.6940644707743654,0,0,0,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,6.001666435249469,1.088244617366828,0,0,1,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Jordi Alba Ramos,Barcelona,15.261061562027718,0.2070797901383497,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,9.479451460923256,0.5837509315745507,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Lionel Andrés Messi Cuccittini,Barcelona,8.547514258543242,0.7438350234322688,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,10.198039027185569,0.6795441961498394,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,21.260291625469296,0.33412236444039023,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,19.580091930325555,0.3647565847803549,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,24.107467722678802,0.2692011748259633,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,19.83053201505194,0.3645066023561679,0,0,0,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Andrés Iniesta Luján,Barcelona,10.104454463255305,0.5777224087642838,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,18.528356645962962,0.38570661353141056,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,24.923081671414554,0.27023879476917695,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,23.70021096952515,0.3064347465247862,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,17.0,0.379123823171158,0,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Ivan Rakitić,Barcelona,23.906902768865734,0.28935263069730405,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,12.050726119201277,0.4678854465564387,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,19.403092537015848,0.3693221603517449,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,15.534799644668741,0.42785378982372724,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,27.280029325497438,0.2566415632907281,0,0,0,0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,21.095023109728988,0.3421515362579608,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,11.704699910719626,0.23259734106244387,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Philippe Coutinho Correia,Barcelona,24.012704970494266,0.29047211507772613,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,10.845275469069474,0.3928369861552731,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,11.761377470347595,0.3992024233078029,1,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,21.912781658201226,0.18449472333578434,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,16.070469812671934,0.29322683801509647,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
